         5.2x6.0E                 (52x60E.dat)                                 02/27/17                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       5000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1383      0.0959       0.004       0.046       0.081                                                                          
         1.2        0.05      0.0680      0.1384      0.0983       0.004       0.047       0.081                                                                          
         2.4        0.10      0.1326      0.1385      0.1009       0.004       0.049       0.081                                                                          
         3.6        0.14      0.1939      0.1387      0.1036       0.004       0.050       0.081                                                                          
         4.8        0.19      0.2520      0.1389      0.1064       0.004       0.051       0.081                                                                          
         5.9        0.24      0.3068      0.1391      0.1095       0.004       0.053       0.081                                                                          
         7.1        0.29      0.3585      0.1394      0.1126       0.004       0.054       0.081                                                                          
         8.3        0.34      0.4073      0.1397      0.1160       0.004       0.056       0.081                                                                          
         9.5        0.39      0.4531      0.1401      0.1194       0.005       0.058       0.082                                                                          
        10.7        0.43      0.4964      0.1403      0.1229       0.005       0.059       0.082                                                                          
        11.9        0.48      0.5371      0.1405      0.1263       0.005       0.061       0.082                                                                          
        13.1        0.53      0.5754      0.1404      0.1296       0.005       0.062       0.082                                                                          
        14.3        0.58      0.6114      0.1398      0.1325       0.005       0.064       0.081                                                                          
        15.5        0.63      0.6452      0.1385      0.1347       0.005       0.065       0.081                                                                          
        16.6        0.68      0.6765      0.1360      0.1360       0.005       0.066       0.079                                                                          
        17.8        0.72      0.7050      0.1323      0.1359       0.005       0.066       0.077                                                                          
        19.0        0.77      0.7296      0.1271      0.1346       0.005       0.065       0.074                                                                          
        20.2        0.82      0.7519      0.1204      0.1314       0.005       0.063       0.070                                                                          
        21.4        0.87      0.7698      0.1120      0.1264       0.005       0.061       0.065                                                                          
        22.6        0.92      0.7825      0.1032      0.1209       0.005       0.058       0.060                                                                          
        23.8        0.97      0.7909      0.0941      0.1149       0.004       0.055       0.055                                                                          
        25.0        1.01      0.7946      0.0846      0.1080       0.004       0.052       0.049                                                                          
        26.2        1.06      0.7943      0.0749      0.1001       0.004       0.048       0.044                                                                          
        27.3        1.11      0.7903      0.0648      0.0911       0.003       0.044       0.038                                                                          
        28.5        1.16      0.7820      0.0546      0.0809       0.003       0.039       0.032                                                                          
        29.7        1.21      0.7683      0.0441      0.0693       0.003       0.033       0.026                                                                          
        30.9        1.26      0.7428      0.0335      0.0566       0.002       0.027       0.019                                                                          
        32.1        1.30      0.6877      0.0226      0.0428       0.002       0.021       0.013                                                                          
        33.3        1.35      0.5488      0.0114      0.0281       0.001       0.014       0.007                                                                          
        34.5        1.40     -0.0059     -0.0001      0.0125       0.000       0.006       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
