         14x14E                   (14x14E.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0927      0.0546       0.002       0.149       0.113                                                                          
         0.6        0.04      0.0705      0.0927      0.0559       0.002       0.152       0.113                                                                          
         1.1        0.08      0.1375      0.0927      0.0573       0.002       0.156       0.113                                                                          
         1.7        0.13      0.2010      0.0928      0.0588       0.003       0.160       0.114                                                                          
         2.3        0.17      0.2611      0.0928      0.0604       0.003       0.165       0.114                                                                          
         2.8        0.21      0.3178      0.0929      0.0621       0.003       0.169       0.114                                                                          
         3.4        0.25      0.3711      0.0931      0.0639       0.003       0.174       0.114                                                                          
         3.9        0.30      0.4212      0.0932      0.0658       0.003       0.179       0.114                                                                          
         4.5        0.34      0.4684      0.0934      0.0678       0.003       0.185       0.114                                                                          
         5.1        0.38      0.5126      0.0936      0.0698       0.003       0.190       0.115                                                                          
         5.6        0.42      0.5541      0.0938      0.0719       0.003       0.196       0.115                                                                          
         6.2        0.47      0.5931      0.0940      0.0740       0.003       0.202       0.115                                                                          
         6.8        0.51      0.6297      0.0941      0.0762       0.003       0.208       0.115                                                                          
         7.3        0.55      0.6639      0.0940      0.0782       0.003       0.213       0.115                                                                          
         7.9        0.59      0.6953      0.0931      0.0796       0.003       0.217       0.114                                                                          
         8.4        0.64      0.7229      0.0909      0.0801       0.003       0.218       0.111                                                                          
         9.0        0.68      0.7467      0.0876      0.0797       0.003       0.217       0.107                                                                          
         9.6        0.72      0.7671      0.0833      0.0784       0.003       0.214       0.102                                                                          
        10.1        0.76      0.7842      0.0781      0.0761       0.003       0.208       0.096                                                                          
        10.7        0.81      0.7976      0.0717      0.0726       0.003       0.198       0.088                                                                          
        11.3        0.85      0.8066      0.0651      0.0686       0.003       0.187       0.080                                                                          
        11.8        0.89      0.8114      0.0583      0.0641       0.003       0.175       0.071                                                                          
        12.4        0.93      0.8107      0.0513      0.0591       0.003       0.161       0.063                                                                          
        13.0        0.98      0.8033      0.0442      0.0538       0.002       0.147       0.054                                                                          
        13.5        1.02      0.7921      0.0370      0.0476       0.002       0.130       0.045                                                                          
        14.1        1.06      0.7751      0.0298      0.0408       0.002       0.111       0.036                                                                          
        14.6        1.10      0.7470      0.0225      0.0332       0.001       0.091       0.028                                                                          
        15.2        1.15      0.6894      0.0151      0.0251       0.001       0.068       0.018                                                                          
        15.8        1.19      0.5466      0.0076      0.0165       0.001       0.045       0.009                                                                          
        16.3        1.23     -0.0082     -0.0001      0.0077       0.000       0.021       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0927      0.0546       0.019       0.596       0.454                                                                          
         1.1        0.04      0.0704      0.0927      0.0560       0.019       0.610       0.454                                                                          
         2.3        0.08      0.1373      0.0927      0.0574       0.020       0.626       0.454                                                                          
         3.4        0.13      0.2007      0.0928      0.0589       0.020       0.642       0.454                                                                          
         4.5        0.17      0.2608      0.0928      0.0605       0.021       0.660       0.454                                                                          
         5.6        0.21      0.3174      0.0929      0.0622       0.022       0.678       0.455                                                                          
         6.8        0.25      0.3707      0.0931      0.0640       0.022       0.698       0.456                                                                          
         7.9        0.30      0.4208      0.0932      0.0659       0.023       0.718       0.456                                                                          
         9.0        0.34      0.4679      0.0934      0.0678       0.023       0.740       0.457                                                                          
        10.1        0.38      0.5121      0.0936      0.0699       0.024       0.762       0.458                                                                          
        11.3        0.42      0.5536      0.0938      0.0720       0.025       0.785       0.459                                                                          
        12.4        0.47      0.5926      0.0940      0.0741       0.026       0.808       0.460                                                                          
        13.5        0.51      0.6292      0.0942      0.0763       0.026       0.832       0.461                                                                          
        14.6        0.55      0.6635      0.0941      0.0783       0.027       0.854       0.460                                                                          
        15.8        0.59      0.6951      0.0932      0.0797       0.028       0.869       0.456                                                                          
        16.9        0.64      0.7229      0.0910      0.0802       0.028       0.875       0.446                                                                          
        18.0        0.68      0.7468      0.0877      0.0798       0.028       0.871       0.429                                                                          
        19.1        0.72      0.7672      0.0835      0.0785       0.027       0.857       0.409                                                                          
        20.3        0.76      0.7843      0.0783      0.0763       0.026       0.832       0.383                                                                          
        21.4        0.81      0.7977      0.0719      0.0727       0.025       0.793       0.352                                                                          
        22.5        0.85      0.8068      0.0652      0.0687       0.024       0.749       0.319                                                                          
        23.6        0.89      0.8116      0.0584      0.0642       0.022       0.700       0.286                                                                          
        24.8        0.93      0.8109      0.0514      0.0593       0.021       0.647       0.252                                                                          
        25.9        0.98      0.8035      0.0443      0.0539       0.019       0.588       0.217                                                                          
        27.0        1.02      0.7923      0.0371      0.0478       0.017       0.521       0.182                                                                          
        28.2        1.06      0.7754      0.0299      0.0409       0.014       0.446       0.146                                                                          
        29.3        1.10      0.7474      0.0226      0.0333       0.012       0.364       0.110                                                                          
        30.4        1.15      0.6901      0.0152      0.0252       0.009       0.275       0.074                                                                          
        31.5        1.19      0.5477      0.0076      0.0166       0.006       0.181       0.037                                                                          
        32.7        1.23     -0.0078      0.0000      0.0077       0.003       0.084       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0927      0.0543       0.063       1.333       1.021                                                                          
         1.7        0.04      0.0708      0.0927      0.0556       0.065       1.365       1.021                                                                          
         3.4        0.08      0.1382      0.0928      0.0570       0.067       1.400       1.022                                                                          
         5.1        0.13      0.2020      0.0928      0.0585       0.068       1.437       1.022                                                                          
