         5.1x5.0E                 (51x50E.dat)                                 04/19/17                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1447      0.0930       0.000       0.002       0.003                                                                          
         0.2        0.04      0.0632      0.1448      0.0951       0.000       0.002       0.003                                                                          
         0.4        0.08      0.1237      0.1448      0.0972       0.000       0.002       0.003                                                                          
         0.6        0.12      0.1814      0.1448      0.0995       0.000       0.002       0.003                                                                          
         0.8        0.17      0.2364      0.1448      0.1018       0.000       0.002       0.003                                                                          
         1.0        0.21      0.2887      0.1448      0.1042       0.000       0.002       0.003                                                                          
         1.2        0.25      0.3384      0.1447      0.1066       0.000       0.002       0.003                                                                          
         1.4        0.29      0.3856      0.1444      0.1089       0.000       0.002       0.003                                                                          
         1.6        0.33      0.4302      0.1440      0.1113       0.000       0.002       0.003                                                                          
         1.8        0.37      0.4724      0.1433      0.1134       0.000       0.002       0.003                                                                          
         2.0        0.42      0.5123      0.1421      0.1153       0.000       0.002       0.003                                                                          
         2.2        0.46      0.5498      0.1404      0.1167       0.000       0.002       0.003                                                                          
         2.4        0.50      0.5849      0.1380      0.1176       0.000       0.002       0.003                                                                          
         2.6        0.54      0.6178      0.1348      0.1179       0.000       0.002       0.003                                                                          
         2.8        0.58      0.6480      0.1308      0.1174       0.000       0.002       0.003                                                                          
         3.0        0.62      0.6756      0.1257      0.1159       0.000       0.002       0.003                                                                          
         3.2        0.66      0.7002      0.1192      0.1132       0.000       0.002       0.003                                                                          
         3.4        0.71      0.7214      0.1113      0.1090       0.000       0.002       0.002                                                                          
         3.6        0.75      0.7386      0.1031      0.1043       0.000       0.002       0.002                                                                          
         3.8        0.79      0.7521      0.0946      0.0992       0.000       0.002       0.002                                                                          
         4.0        0.83      0.7617      0.0858      0.0936       0.000       0.002       0.002                                                                          
         4.2        0.87      0.7659      0.0769      0.0876       0.000       0.002       0.002                                                                          
         4.4        0.91      0.7658      0.0678      0.0809       0.000       0.001       0.001                                                                          
         4.6        0.96      0.7623      0.0586      0.0734       0.000       0.001       0.001                                                                          
         4.8        1.00      0.7546      0.0492      0.0650       0.000       0.001       0.001                                                                          
         5.0        1.04      0.7400      0.0397      0.0557       0.000       0.001       0.001                                                                          
         5.2        1.08      0.7111      0.0300      0.0456       0.000       0.001       0.001                                                                          
         5.4        1.12      0.6473      0.0202      0.0350       0.000       0.001       0.000                                                                          
         5.6        1.16      0.4953      0.0102      0.0240       0.000       0.000       0.000                                                                          
         5.8        1.20      0.0010      0.0000      0.0128       0.000       0.000       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1447      0.0931       0.000       0.007       0.012                                                                          
         0.4        0.04      0.0632      0.1448      0.0951       0.000       0.007       0.012                                                                          
         0.8        0.08      0.1237      0.1448      0.0973       0.000       0.007       0.012                                                                          
         1.2        0.12      0.1814      0.1448      0.0995       0.000       0.007       0.012                                                                          
         1.6        0.17      0.2364      0.1448      0.1018       0.000       0.007       0.012                                                                          
         2.0        0.21      0.2887      0.1448      0.1042       0.000       0.007       0.012                                                                          
         2.4        0.25      0.3384      0.1447      0.1066       0.000       0.007       0.012                                                                          
         2.8        0.29      0.3854      0.1444      0.1090       0.000       0.008       0.012                                                                          
         3.2        0.33      0.4301      0.1440      0.1113       0.000       0.008       0.012                                                                          
         3.6        0.37      0.4724      0.1433      0.1134       0.000       0.008       0.012                                                                          
         4.0        0.42      0.5122      0.1422      0.1153       0.000       0.008       0.012                                                                          
         4.4        0.46      0.5498      0.1404      0.1167       0.000       0.008       0.012                                                                          
         4.8        0.50      0.5849      0.1380      0.1176       0.000       0.008       0.012                                                                          
         5.2        0.54      0.6177      0.1349      0.1179       0.000       0.008       0.012                                                                          
         5.6        0.58      0.6480      0.1308      0.1174       0.000       0.008       0.011                                                                          
         6.0        0.62      0.6756      0.1257      0.1160       0.000       0.008       0.011                                                                          
         6.4        0.66      0.7002      0.1193      0.1132       0.000       0.008       0.010                                                                          
         6.8        0.71      0.7214      0.1114      0.1090       0.000       0.008       0.010                                                                          
         7.2        0.75      0.7386      0.1031      0.1044       0.000       0.007       0.009                                                                          
         7.6        0.79      0.7521      0.0946      0.0993       0.000       0.007       0.008                                                                          
         8.0        0.83      0.7617      0.0859      0.0937       0.000       0.007       0.007                                                                          
         8.4        0.87      0.7659      0.0769      0.0876       0.000       0.006       0.007                                                                          
         8.8        0.91      0.7658      0.0678      0.0809       0.000       0.006       0.006                                                                          
         9.2        0.96      0.7623      0.0586      0.0734       0.000       0.005       0.005                                                                          
         9.6        1.00      0.7546      0.0492      0.0650       0.000       0.005       0.004                                                                          
        10.0        1.04      0.7401      0.0397      0.0557       0.000       0.004       0.003                                                                          
        10.4        1.08      0.7113      0.0301      0.0457       0.000       0.003       0.003                                                                          
        10.8        1.12      0.6479      0.0203      0.0351       0.000       0.002       0.002                                                                          
        11.2        1.16      0.4965      0.0103      0.0240       0.000       0.002       0.001                                                                          
        11.6        1.20     -0.0027      0.0000      0.0127       0.000       0.001       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
