# J, eta_p, CT, CP
0.0,0.00,0.1207,0.1172
0.0,0.05,0.1209,0.1161
0.1,0.11,0.1210,0.1149
0.1,0.16,0.1212,0.1139
0.1,0.21,0.1212,0.1127
0.2,0.26,0.1213,0.1115
0.2,0.30,0.1212,0.1101
0.3,0.35,0.1211,0.1092
0.3,0.39,0.1208,0.1079
0.3,0.44,0.1203,0.1064
0.4,0.48,0.1196,0.1051
0.4,0.52,0.1186,0.1034
0.5,0.56,0.1171,0.1013
0.5,0.60,0.1150,0.0989
0.5,0.65,0.1122,0.0960
0.6,0.68,0.1084,0.0927
0.6,0.72,0.1033,0.0885
0.6,0.75,0.0966,0.0835
0.7,0.78,0.0894,0.0787
0.7,0.80,0.0822,0.0743
0.8,0.82,0.0748,0.0698
0.8,0.83,0.0672,0.0648
0.8,0.84,0.0594,0.0592
0.9,0.85,0.0514,0.0530
0.9,0.85,0.0432,0.0464
1.0,0.85,0.0349,0.0392
1.0,0.83,0.0264,0.0316
1.0,0.77,0.0176,0.0236
1.1,0.61,0.0089,0.0156
1.1,0.01,0.0002,0.0078
