# J, eta_p, CT, CP
0.0,0.00,0.1336,0.0798
0.0,0.05,0.1329,0.0787
0.1,0.11,0.1321,0.0776
0.1,0.16,0.1311,0.0764
0.1,0.21,0.1299,0.0752
0.1,0.27,0.1283,0.0739
0.2,0.32,0.1264,0.0724
0.2,0.37,0.1239,0.0709
0.2,0.42,0.1208,0.0693
0.3,0.47,0.1171,0.0677
0.3,0.51,0.1129,0.0664
0.3,0.55,0.1083,0.0653
0.4,0.58,0.1035,0.0641
0.4,0.61,0.0985,0.0627
0.4,0.64,0.0933,0.0612
0.5,0.67,0.0881,0.0595
0.5,0.69,0.0826,0.0576
0.5,0.71,0.0771,0.0554
0.5,0.73,0.0713,0.0530
0.6,0.74,0.0653,0.0502
0.6,0.76,0.0594,0.0472
0.6,0.77,0.0532,0.0439
0.7,0.77,0.0470,0.0403
0.7,0.77,0.0404,0.0363
0.7,0.76,0.0339,0.0323
0.8,0.73,0.0273,0.0282
0.8,0.67,0.0207,0.0243
0.8,0.55,0.0139,0.0204
0.8,0.36,0.0070,0.0165
0.9,-0.00,-0.0001,0.0128
