# J, eta_p, CT, CP
0.0,0.00,0.0960,0.0982
0.0,0.05,0.0961,0.0972
0.1,0.10,0.0961,0.0961
0.1,0.15,0.0961,0.0951
0.1,0.20,0.0961,0.0941
0.2,0.25,0.0960,0.0933
0.2,0.29,0.0959,0.0923
0.3,0.34,0.0958,0.0914
0.3,0.38,0.0955,0.0905
0.3,0.42,0.0952,0.0897
0.4,0.46,0.0949,0.0898
0.4,0.50,0.0942,0.0887
0.4,0.54,0.0928,0.0866
0.5,0.58,0.0904,0.0832
0.5,0.62,0.0872,0.0792
0.6,0.66,0.0831,0.0748
0.6,0.70,0.0785,0.0701
0.6,0.73,0.0735,0.0655
0.7,0.76,0.0683,0.0612
0.7,0.78,0.0628,0.0570
0.7,0.80,0.0574,0.0534
0.8,0.81,0.0515,0.0494
0.8,0.82,0.0455,0.0451
0.8,0.83,0.0395,0.0406
0.9,0.83,0.0333,0.0356
0.9,0.82,0.0269,0.0302
1.0,0.81,0.0204,0.0243
1.0,0.76,0.0138,0.0182
1.0,0.63,0.0070,0.0117
1.1,-0.00,0.0000,0.0057
