# J, eta_p, CT, CP
0.0,0.00,0.1822,0.1662
0.0,0.04,0.1821,0.1627
0.1,0.09,0.1820,0.1591
0.1,0.13,0.1817,0.1553
0.1,0.18,0.1814,0.1514
0.2,0.22,0.1808,0.1474
0.2,0.27,0.1799,0.1432
0.2,0.32,0.1786,0.1387
0.3,0.37,0.1767,0.1340
0.3,0.42,0.1741,0.1291
0.3,0.48,0.1708,0.1244
0.4,0.53,0.1666,0.1197
0.4,0.58,0.1603,0.1148
0.5,0.62,0.1525,0.1100
0.5,0.65,0.1445,0.1064
0.5,0.68,0.1363,0.1029
0.5,0.71,0.1280,0.0991
0.6,0.73,0.1195,0.0950
0.6,0.76,0.1106,0.0904
0.7,0.77,0.1017,0.0855
0.7,0.79,0.0922,0.0798
0.7,0.81,0.0827,0.0738
0.8,0.82,0.0731,0.0674
0.8,0.82,0.0633,0.0606
0.8,0.82,0.0532,0.0532
0.9,0.81,0.0429,0.0456
0.9,0.76,0.0325,0.0379
0.9,0.67,0.0218,0.0303
1.0,0.47,0.0110,0.0226
1.0,-0.00,-0.0001,0.0148
