# J, eta_p, CT, CP
0.0,0.00,0.1047,0.0635
0.0,0.05,0.1046,0.0628
0.1,0.10,0.1044,0.0621
0.1,0.15,0.1042,0.0614
0.1,0.21,0.1038,0.0607
0.1,0.26,0.1033,0.0600
0.2,0.31,0.1025,0.0592
0.2,0.36,0.1015,0.0585
0.2,0.41,0.1001,0.0577
0.3,0.46,0.0984,0.0571
0.3,0.50,0.0962,0.0563
0.3,0.54,0.0936,0.0555
0.3,0.58,0.0906,0.0545
0.4,0.62,0.0872,0.0533
0.4,0.66,0.0834,0.0518
0.4,0.69,0.0794,0.0503
0.5,0.72,0.0745,0.0485
0.5,0.74,0.0696,0.0466
0.5,0.76,0.0645,0.0444
0.5,0.78,0.0593,0.0420
0.6,0.80,0.0539,0.0394
0.6,0.81,0.0484,0.0365
0.6,0.82,0.0429,0.0335
0.7,0.83,0.0372,0.0302
0.7,0.83,0.0314,0.0266
0.7,0.82,0.0254,0.0226
0.8,0.80,0.0192,0.0184
0.8,0.75,0.0129,0.0138
0.8,0.61,0.0065,0.0091
0.8,0.00,0.0000,0.0049
