# J, eta_p, CT, CP
0.0,0.00,0.0827,0.0284
0.0,0.05,0.0811,0.0282
0.0,0.11,0.0794,0.0279
0.1,0.16,0.0777,0.0277
0.1,0.21,0.0758,0.0274
0.1,0.25,0.0739,0.0271
0.1,0.30,0.0718,0.0269
0.1,0.34,0.0697,0.0266
0.1,0.38,0.0674,0.0262
0.2,0.42,0.0650,0.0259
0.2,0.46,0.0625,0.0255
0.2,0.49,0.0599,0.0250
0.2,0.52,0.0572,0.0245
0.2,0.55,0.0545,0.0239
0.3,0.58,0.0516,0.0233
0.3,0.60,0.0487,0.0226
0.3,0.62,0.0457,0.0219
0.3,0.64,0.0426,0.0210
0.3,0.66,0.0395,0.0201
0.3,0.67,0.0363,0.0191
0.4,0.68,0.0330,0.0180
0.4,0.69,0.0296,0.0168
0.4,0.69,0.0261,0.0155
0.4,0.68,0.0226,0.0142
0.4,0.66,0.0190,0.0128
0.5,0.63,0.0153,0.0113
0.5,0.58,0.0116,0.0097
0.5,0.49,0.0078,0.0081
0.5,0.32,0.0039,0.0065
0.5,-0.00,-0.0000,0.0049
