# J, eta_p, CT, CP
0.0,0.00,0.1590,0.0694
0.0,0.06,0.1563,0.0699
0.1,0.11,0.1533,0.0704
0.1,0.17,0.1502,0.0707
0.1,0.22,0.1468,0.0709
0.1,0.26,0.1432,0.0710
0.2,0.31,0.1394,0.0709
0.2,0.35,0.1354,0.0708
0.2,0.39,0.1311,0.0704
0.2,0.43,0.1266,0.0699
0.3,0.46,0.1219,0.0692
0.3,0.49,0.1170,0.0682
0.3,0.52,0.1117,0.0671
0.3,0.55,0.1063,0.0658
0.4,0.58,0.1008,0.0643
0.4,0.60,0.0951,0.0625
0.4,0.62,0.0893,0.0605
0.4,0.64,0.0834,0.0582
0.5,0.65,0.0772,0.0558
0.5,0.67,0.0710,0.0532
0.5,0.68,0.0646,0.0503
0.5,0.68,0.0581,0.0471
0.6,0.68,0.0514,0.0436
0.6,0.67,0.0446,0.0400
0.6,0.66,0.0376,0.0360
0.7,0.63,0.0304,0.0318
0.7,0.58,0.0231,0.0274
0.7,0.48,0.0155,0.0229
0.7,0.32,0.0078,0.0184
0.8,-0.00,-0.0000,0.0141
