# J, eta_p, CT, CP
0.0,0.00,0.2763,0.2799
0.0,0.04,0.2749,0.2724
0.1,0.09,0.2732,0.2646
0.1,0.13,0.2711,0.2565
0.1,0.18,0.2685,0.2482
0.2,0.22,0.2654,0.2395
0.2,0.27,0.2615,0.2306
0.3,0.31,0.2568,0.2216
0.3,0.36,0.2502,0.2117
0.3,0.40,0.2413,0.2007
0.4,0.45,0.2317,0.1908
0.4,0.49,0.2217,0.1823
0.4,0.53,0.2118,0.1751
0.5,0.56,0.2016,0.1688
0.5,0.60,0.1910,0.1629
0.5,0.62,0.1802,0.1569
0.6,0.65,0.1689,0.1503
0.6,0.67,0.1576,0.1437
0.7,0.70,0.1457,0.1363
0.7,0.72,0.1339,0.1285
0.7,0.73,0.1225,0.1210
0.8,0.75,0.1097,0.1118
0.8,0.75,0.0969,0.1024
0.8,0.76,0.0845,0.0932
0.9,0.75,0.0706,0.0822
0.9,0.72,0.0570,0.0717
0.9,0.67,0.0431,0.0610
1.0,0.56,0.0289,0.0502
1.0,0.38,0.0147,0.0397
1.0,-0.01,-0.0003,0.0291
