# J, eta_p, CT, CP
0.0,0.00,0.0968,0.0606
0.0,0.05,0.0967,0.0599
0.1,0.10,0.0966,0.0592
0.1,0.15,0.0964,0.0584
0.1,0.20,0.0962,0.0576
0.1,0.26,0.0958,0.0568
0.2,0.31,0.0953,0.0559
0.2,0.36,0.0945,0.0551
0.2,0.41,0.0934,0.0542
0.3,0.46,0.0920,0.0534
0.3,0.51,0.0901,0.0527
0.3,0.55,0.0878,0.0520
0.4,0.59,0.0851,0.0512
0.4,0.63,0.0820,0.0502
0.4,0.66,0.0784,0.0490
0.4,0.69,0.0745,0.0477
0.5,0.72,0.0703,0.0461
0.5,0.74,0.0657,0.0443
0.5,0.77,0.0609,0.0422
0.6,0.78,0.0558,0.0398
0.6,0.80,0.0506,0.0372
0.6,0.81,0.0454,0.0345
0.6,0.82,0.0402,0.0317
0.7,0.83,0.0349,0.0285
0.7,0.83,0.0294,0.0251
0.7,0.82,0.0237,0.0213
0.8,0.79,0.0179,0.0174
0.8,0.74,0.0121,0.0132
0.8,0.60,0.0061,0.0087
0.8,-0.01,-0.0001,0.0053
